epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.931,1.96203,2.32075,1.78208,0.05199,0.19427,0.02283,0.00927,2.58898,11.1537,2.32156,0.000662393,0.000662393,0.000662393
2,417.41,1.98285,2.11685,1.84652,0.41378,0.28544,0.25043,0.10111,2.2818,3.92786,2.21672,0.00132776,0.00132776,0.00132776
3,627.785,1.96964,2.1059,1.86219,0.3805,0.32551,0.28169,0.11095,2.24898,4.98153,2.20553,0.00198794,0.00198794,0.00198794
4,839.171,1.95578,2.08222,1.85299,0.36496,0.19072,0.16831,0.06424,2.37773,3.13559,2.26419,0.00198246,0.00198246,0.00198246
5,1046.54,1.90438,2.00036,1.80874,0.46026,0.3605,0.34317,0.14692,2.11547,2.86682,1.99642,0.0019689,0.0019689,0.0019689
6,1256.6,1.85344,1.92682,1.76717,0.53695,0.45812,0.46482,0.1947,2.03023,2.04799,1.9411,0.00195155,0.00195155,0.00195155
7,1468.52,1.83559,1.86642,1.74276,0.59485,0.48647,0.51633,0.22415,2.02427,1.80299,1.92913,0.00193048,0.00193048,0.00193048
8,1679.15,1.82104,1.83453,1.74161,0.60427,0.49636,0.52747,0.22394,2.04413,2.06001,1.91209,0.00190578,0.00190578,0.00190578
9,1888.24,1.80684,1.81156,1.73389,0.63701,0.53802,0.57539,0.24812,1.99066,1.63166,1.91051,0.00187754,0.00187754,0.00187754
10,2098.15,1.78502,1.78876,1.7186,0.64752,0.51256,0.55619,0.24179,1.9981,1.67005,1.90135,0.00184588,0.00184588,0.00184588
11,2308.56,1.77229,1.75562,1.70658,0.66541,0.53286,0.58405,0.26534,1.95328,1.62551,1.86202,0.00181093,0.00181093,0.00181093
12,2519.94,1.76359,1.74149,1.69975,0.67128,0.52964,0.59068,0.27237,1.93828,1.60933,1.84376,0.00177281,0.00177281,0.00177281
13,2731.7,1.75231,1.7202,1.69346,0.63328,0.50934,0.54873,0.23628,1.98203,1.66204,1.88231,0.00173168,0.00173168,0.00173168
14,2938.94,1.74097,1.69669,1.67369,0.62151,0.49936,0.55583,0.26512,1.91472,1.62842,1.80957,0.0016877,0.0016877,0.0016877
15,3147.03,1.72725,1.66749,1.66402,0.66933,0.54156,0.59934,0.2779,1.91224,1.56574,1.81537,0.00164105,0.00164105,0.00164105
16,3357.44,1.71434,1.65434,1.65723,0.65688,0.56282,0.61138,0.28168,1.90336,1.58336,1.83048,0.00159191,0.00159191,0.00159191
17,3567.22,1.71465,1.64944,1.65787,0.69542,0.56639,0.63405,0.3032,1.86562,1.4932,1.76137,0.00154047,0.00154047,0.00154047
18,3774.23,1.70657,1.62357,1.64987,0.66085,0.54961,0.60731,0.28522,1.90429,1.59883,1.82653,0.00148694,0.00148694,0.00148694
19,3976.22,1.69032,1.60694,1.63189,0.66962,0.55509,0.60889,0.29558,1.86391,1.57683,1.77743,0.00143152,0.00143152,0.00143152
20,4179.9,1.68419,1.58399,1.62631,0.67205,0.57152,0.62811,0.28661,1.93726,1.53387,1.81503,0.00137444,0.00137444,0.00137444
21,4382,1.6809,1.57487,1.63324,0.68895,0.56873,0.63529,0.30625,1.84994,1.46666,1.78115,0.00131593,0.00131593,0.00131593
22,4584.31,1.66115,1.56077,1.61402,0.7089,0.58666,0.65727,0.31357,1.86404,1.42078,1.77521,0.0012562,0.0012562,0.0012562
23,4787.51,1.66359,1.55502,1.62003,0.69773,0.60889,0.67223,0.33175,1.84192,1.35659,1.75124,0.00119551,0.00119551,0.00119551
24,4992.21,1.65448,1.54579,1.61387,0.70377,0.61307,0.673,0.32902,1.82522,1.375,1.7317,0.00113408,0.00113408,0.00113408
25,5196.42,1.6417,1.52491,1.61341,0.71709,0.6047,0.6774,0.33574,1.80169,1.37791,1.726,0.00107216,0.00107216,0.00107216
26,5399.7,1.63015,1.49189,1.59203,0.71081,0.59547,0.67203,0.32902,1.81836,1.36656,1.73298,0.00101,0.00101,0.00101
27,5601.92,1.62516,1.48659,1.59051,0.68772,0.63724,0.6782,0.34218,1.78712,1.37706,1.70126,0.000947837,0.000947837,0.000947837
28,5806.62,1.62017,1.48493,1.588,0.72316,0.62113,0.68835,0.35136,1.77971,1.31472,1.70956,0.00088592,0.00088592,0.00088592
29,6014.26,1.60068,1.4516,1.5738,0.69967,0.61791,0.67791,0.34408,1.78964,1.31976,1.71173,0.000824492,0.000824492,0.000824492
30,6222.04,1.59633,1.43668,1.5636,0.70815,0.64207,0.6988,0.35869,1.7713,1.28035,1.6914,0.000763797,0.000763797,0.000763797
31,6431.33,1.59535,1.44262,1.57225,0.70904,0.64272,0.69387,0.34884,1.81057,1.27241,1.7145,0.000704073,0.000704073,0.000704073
32,6641.69,1.57806,1.42444,1.55398,0.70927,0.64401,0.70262,0.36509,1.76068,1.26722,1.69723,0.000645557,0.000645557,0.000645557
33,6845.57,1.57789,1.42139,1.55669,0.73575,0.65625,0.71487,0.37069,1.74591,1.26543,1.6906,0.000588479,0.000588479,0.000588479
34,7049.04,1.56072,1.39785,1.55386,0.72323,0.65412,0.70938,0.36795,1.75644,1.22892,1.68865,0.000533064,0.000533064,0.000533064
35,7251.36,1.56524,1.39627,1.55126,0.74676,0.65742,0.7283,0.38043,1.72287,1.21916,1.65917,0.000479531,0.000479531,0.000479531
36,7453.83,1.55375,1.36961,1.54079,0.7408,0.64723,0.71682,0.37861,1.73015,1.23369,1.66792,0.000428093,0.000428093,0.000428093
37,7656.06,1.53805,1.37077,1.52815,0.75152,0.66591,0.73046,0.38614,1.72526,1.18518,1.66721,0.00037895,0.00037895,0.00037895
38,7864.44,1.53979,1.35029,1.52369,0.77021,0.65654,0.74023,0.38955,1.72535,1.17724,1.65732,0.000332298,0.000332298,0.000332298
39,8072.78,1.53736,1.34697,1.53089,0.75966,0.65915,0.72986,0.38801,1.7086,1.17739,1.65283,0.000288321,0.000288321,0.000288321
40,8281.39,1.52547,1.32731,1.52273,0.76711,0.66495,0.73239,0.38851,1.71722,1.19104,1.65145,0.000247192,0.000247192,0.000247192
41,8452.78,1.39895,1.06972,1.44623,0.77038,0.67445,0.73864,0.39414,1.71144,1.16789,1.64962,0.000209073,0.000209073,0.000209073
42,8618.98,1.37754,1.00545,1.43253,0.76505,0.67137,0.73756,0.40004,1.68042,1.16834,1.63278,0.000174115,0.000174115,0.000174115
43,8781.63,1.36651,0.99723,1.42293,0.77635,0.67397,0.74604,0.40351,1.68242,1.13762,1.63653,0.000142456,0.000142456,0.000142456
44,8945.25,1.35533,0.98374,1.41413,0.76848,0.6801,0.74375,0.40613,1.6669,1.13646,1.62561,0.000114221,0.000114221,0.000114221
45,9108.88,1.3504,0.97281,1.41028,0.76871,0.68636,0.74883,0.40904,1.66859,1.13405,1.62889,8.95213e-05,8.95213e-05,8.95213e-05
46,9269.79,1.3402,0.9687,1.40402,0.77432,0.68653,0.7515,0.41158,1.66035,1.12461,1.61853,6.8454e-05,6.8454e-05,6.8454e-05
47,9432.83,1.33975,0.96295,1.40452,0.78164,0.68621,0.75406,0.41434,1.65738,1.11984,1.61578,5.11027e-05,5.11027e-05,5.11027e-05
48,9593.85,1.32567,0.94406,1.39419,0.78199,0.68413,0.75318,0.41468,1.66006,1.11612,1.61985,3.75356e-05,3.75356e-05,3.75356e-05
49,9756.65,1.33599,0.94568,1.39774,0.78087,0.69137,0.75567,0.41578,1.6595,1.11246,1.61898,2.78064e-05,2.78064e-05,2.78064e-05
50,9918.61,1.33226,0.94854,1.39939,0.78594,0.68724,0.75603,0.41697,1.65776,1.11198,1.61611,2.19535e-05,2.19535e-05,2.19535e-05
